Papel;Empresa;CNPJ;Setor de atuação;Subsetor de atuação;Segmento de atuação;Patrimônio líquido;Ativos;Ativo circulante;Dívida bruta;Disponibilidade;Dívida líquida;Valor de mercado;Valor de firma;Número total de papéis;Segmento de listagem;Free float;Cotação atual;Mínima 52 semanas;Máxima 52 semanas;Dividend Yield;Valorização
brge11;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17.193.806/0001-46;Financeiro e Outros;Previdência e Seguros;Seguradoras;1271293000;3166370000;1845776000;0;1477183000;-1477183000;777239875;-699943125;73646388;;20.41;9.50;5.38;9.78;3.98;29.08
brge12;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17.193.806/0001-46;Financeiro e Outros;Previdência e Seguros;Seguradoras;1271293000;3166370000;1845776000;0;1477183000;-1477183000;777239875;-699943125;73646388;;20.41;9.49;6.20;9.99;-;50.63
brge3;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17.193.806/0001-46;Financeiro e Outros;Previdência e Seguros;Seguradoras;1271293000;3166370000;1845776000;0;1477183000;-1477183000;777239875;-699943125;73646388;;20.41;9.75;5.83;11.98;-;51.63
brge5;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17.193.806/0001-46;Financeiro e Outros;Previdência e Seguros;Seguradoras;1271293000;3166370000;1845776000;0;1477183000;-1477183000;777239875;-699943125;73646388;;20.41;11.53;8.61;11.53;2.73;29.12
brge6;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17.193.806/0001-46;Financeiro e Outros;Previdência e Seguros;Seguradoras;1271293000;3166370000;1845776000;0;1477183000;-1477183000;777239875;-699943125;73646388;;20.41;12.01;7.76;15.50;6.30;23.94
brge7;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17.193.806/0001-46;Financeiro e Outros;Previdência e Seguros;Seguradoras;1271293000;3166370000;1845776000;0;1477183000;-1477183000;777239875;-699943125;73646388;;20.41;5.40;-;-;8.17;-
brge8;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17.193.806/0001-46;Financeiro e Outros;Previdência e Seguros;Seguradoras;1271293000;3166370000;1845776000;0;1477183000;-1477183000;777239875;-699943125;73646388;;20.41;9.70;7.07;9.99;3.25;7.18
brit3;BRISANET PARTICIPAÇÕES S.A.;19.796.586/0001-70;Comunicações;Telecomunicações;Telecomunicações;1346475000;2824614000;602611000;1072722000;427887000;644835000;1118246341;1763081341;449094916;Novo Mercado;21.12;2.47;1.76;4.46;0.05;-40.77
briv3;BCO ALFA DE INVESTIMENTO S.A.;60.770.336/0001-65;Financeiro e Outros;Intermediários Financeiros;Bancos;1626771000;24539387000;1495907000;-;1495907000;-;864190790;864190790;88600584;;22.52;9.73;5.02;13.50;0.56;39.40
briv4;BCO ALFA DE INVESTIMENTO S.A.;60.770.336/0001-65;Financeiro e Outros;Intermediários Financeiros;Bancos;1626771000;24539387000;1495907000;-;1495907000;-;864190790;864190790;88600584;;22.52;9.79;5.97;9.80;6.23;27.47
brkm3;BRASKEM S.A;42.150.391/0001-70;Materiais Básicos;Químicos;Petroquímicos;8689362000;92208922000;38431067000;35841429000;14228993000;21612436000;18840859285;40453295285;797207834;Nível 1;34.95;24.06;23.21;49.53;7.00;-51.42
brkm5;BRASKEM S.A;42.150.391/0001-70;Materiais Básicos;Químicos;Petroquímicos;8689362000;92208922000;38431067000;35841429000;14228993000;21612436000;18840859285;40453295285;797207834;Nível 1;34.95;22.92;22.41;52.60;7.39;-55.14
brkm6;BRASKEM S.A;42.150.391/0001-70;Materiais Básicos;Químicos;Petroquímicos;8689362000;92208922000;38431067000;35841429000;14228993000;21612436000;18840859285;40453295285;797207834;Nível 1;34.95;25.50;18.02;38.79;-;-34.26
brml3;BR MALLS PARTICIPACOES S.A.;06.977.745/0001-91;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis;11071947000;18347867000;1579036000;3380271000;1187240000;2193031000;6841542282;9034573282;828273884;;100.00;8.26;7.52;10.44;0.65;7.55
brpr3;BR PROPERTIES S.A.;06.977.751/0001-49;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis;4485840000;6516843000;3813046000;0;1545500000;-1545500000;2837682508;1292182508;464432489;Novo Mercado;37.77;6.12;4.46;6.88;1.72;35.70
brsr3;BCO ESTADO DO RIO GRANDE DO SUL S.A;92.702.067/0001-96;Financeiro e Outros;Intermediários Financeiros;Bancos;9082643000;114786159000;7329158000;-;7329158000;-;4196736601;4196736601;408974477;Nível 1;50.61;10.83;10.21;13.62;8.14;0.19
brsr5;BCO ESTADO DO RIO GRANDE DO SUL S.A;92.702.067/0001-96;Financeiro e Outros;Intermediários Financeiros;Bancos;9082643000;114786159000;7329158000;-;7329158000;-;4196736601;4196736601;408974477;Nível 1;50.61;17.48;13.42;17.95;5.11;13.43
brsr6;BCO ESTADO DO RIO GRANDE DO SUL S.A;92.702.067/0001-96;Financeiro e Outros;Intermediários Financeiros;Bancos;9082643000;114786159000;7329158000;-;7329158000;-;4196736601;4196736601;408974477;Nível 1;50.61;9.56;8.85;12.68;9.19;7.17
bsli3;BRB BCO DE BRASILIA S.A.;00.000.208/0001-00;Financeiro e Outros;Intermediários Financeiros;Bancos;2131886000;38922484000;4017387000;-;4017387000;-;6222589745;6222589745;363046500;;11.56;17.93;15.53;29.53;5.84;-35.18
bsli4;BRB BCO DE BRASILIA S.A.;00.000.208/0001-00;Financeiro e Outros;Intermediários Financeiros;Bancos;2131886000;38922484000;4017387000;-;4017387000;-;6222589745;6222589745;363046500;;11.56;14.47;12.20;29.63;7.96;-31.06
cali3;CONSTRUTORA ADOLPHO LINDENBERG S.A.;61.022.042/0001-18;Consumo Cíclico;Construção Civil;Incorporações;4672000;231809000;159482000;124008000;12538000;111470000;30586382;142056382;3720971;;12.18;8.22;5.15;10.79;52.55;-17.88
cali4;CONSTRUTORA ADOLPHO LINDENBERG S.A.;61.022.042/0001-18;Consumo Cíclico;Construção Civil;Incorporações;4672000;231809000;159482000;124008000;12538000;111470000;30586382;142056382;3720971;;12.18;50.00;-;-;8.64;-
camb3;CAMBUCI S.A.;61.088.894/0001-08;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados;158791000;381379000;183570000;110408000;7696000;102712000;257877988;360589988;42275080;;100.00;6.25;3.87;7.33;3.10;37.97
caml3;CAMIL ALIMENTOS S.A.;64.904.295/0001-03;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;2892635000;8511151000;5182246000;4023456000;1438091000;2585365000;2768400000;5353765000;360000000;Novo Mercado;27.91;7.58;7.29;10.94;4.76;-27.26
cash3;MÉLIUZ S.A.;14.110.585/0001-07;Tecnologia da Informação;Programas e Serviços;Programas e Serviços;776485000;1322924000;884662000;181000;749944000;-749763000;1037918327;288155327;864931939;Novo Mercado;76.07;1.19;1.01;2.96;-;-55.76
casn3;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;82.508.433/0001-17;Utilidade Pública;Água e Saneamento;Água e Saneamento;1847577000;4233374000;519100000;1565474000;72827000;1492647000;11094218905;12586865905;949739585;;0.01;15.01;-;-;0.23;-
casn4;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;82.508.433/0001-17;Utilidade Pública;Água e Saneamento;Água e Saneamento;1847577000;4233374000;519100000;1565474000;72827000;1492647000;11094218905;12586865905;949739585;;0.01;8.37;-;-;0.46;-
